,STNAME,CTYNAME,Year,Population
4717,Missouri,St. Francois County,POPESTIMATE2015,66232
4762,Montana,Lewis and Clark County,POPESTIMATE2015,66225
812,Iowa,Dallas County,CENSUS2010POP,66135
1789,New Jersey,Salem County,CENSUS2010POP,66083
5187,Ohio,Athens County,POPESTIMATE2015,65886
7066,Indiana,Wayne County,POPESTIMATE2019,65884
894,Kansas,Butler County,CENSUS2010POP,65880
4937,New Mexico,Chaves County,POPESTIMATE2015,65825
3549,Georgia,Catoosa County,POPESTIMATE2015,65778
7004,Indiana,Grant County,POPESTIMATE2019,65769
1883,New York,Warren County,CENSUS2010POP,65707
4460,Minnesota,Blue Earth County,POPESTIMATE2015,65673
5365,Oregon,Klamath County,POPESTIMATE2015,65670
1796,New Mexico,Chaves County,CENSUS2010POP,65645
2623,Texas,Harrison County,CENSUS2010POP,65631
1064,Kentucky,McCracken County,CENSUS2010POP,65565
2913,Virginia,York County,CENSUS2010POP,65464
5836,Texas,Nacogdoches County,POPESTIMATE2015,65462
6876,Illinois,Adams County,POPESTIMATE2019,65435
5233,Ohio,Marion County,POPESTIMATE2015,65431
7346,Kentucky,McCracken County,POPESTIMATE2019,65418
1852,New York,Livingston County,CENSUS2010POP,65393
1576,Missouri,St. Francois County,CENSUS2010POP,65359
8328,Ohio,Athens County,POPESTIMATE2019,65327
8364,Ohio,Jefferson County,POPESTIMATE2019,65325
4519,Minnesota,Rice County,POPESTIMATE2015,65323
2255,Pennsylvania,Carbon County,CENSUS2010POP,65249
8977,Texas,Nacogdoches County,POPESTIMATE2019,65204
2848,Virginia,Fauquier County,CENSUS2010POP,65203
8374,Ohio,Marion County,POPESTIMATE2019,65093
6519,California,Tehama County,POPESTIMATE2019,65084
7612,Minnesota,Crow Wing County,POPESTIMATE2019,65055
1089,Kentucky,Pike County,CENSUS2010POP,65024
7373,Kentucky,Pulaski County,POPESTIMATE2019,64979
8543,Pennsylvania,Columbia County,POPESTIMATE2019,64964
4205,Kentucky,McCracken County,POPESTIMATE2015,64948
8740,Tennessee,Hamblen County,POPESTIMATE2019,64934
3204,Alabama,Walker County,POPESTIMATE2015,64931
3392,Colorado,Broomfield County,POPESTIMATE2015,64866
2726,Texas,San Patricio County,CENSUS2010POP,64804
4954,New Mexico,Otero County,POPESTIMATE2015,64768
2046,Ohio,Athens County,CENSUS2010POP,64757
8527,Pennsylvania,Armstrong County,POPESTIMATE2019,64735
1807,New Mexico,Lea County,CENSUS2010POP,64727
7545,Michigan,Ionia County,POPESTIMATE2019,64697
202,California,Lake County,CENSUS2010POP,64665
9336,Wisconsin,Chippewa County,POPESTIMATE2019,64658
9017,Texas,Starr County,POPESTIMATE2019,64633
8078,New Mexico,Chaves County,POPESTIMATE2019,64615
4225,Kentucky,Oldham County,POPESTIMATE2015,64556
2695,Texas,Nacogdoches County,CENSUS2010POP,64524
1848,New York,Herkimer County,CENSUS2010POP,64519
964,Kansas,Reno County,CENSUS2010POP,64511
8494,Oregon,Coos County,POPESTIMATE2019,64487
9384,Wisconsin,Sauk County,POPESTIMATE2019,64442
5024,New York,Warren County,POPESTIMATE2015,64420
6484,California,Lake County,POPESTIMATE2019,64386
4993,New York,Livingston County,POPESTIMATE2015,64344
6718,Georgia,Effingham County,POPESTIMATE2019,64296
3343,California,Lake County,POPESTIMATE2015,64260
7608,Minnesota,Clay County,POPESTIMATE2019,64222
8537,Pennsylvania,Carbon County,POPESTIMATE2019,64182
1378,Minnesota,Rice County,CENSUS2010POP,64142
511,Georgia,Spalding County,CENSUS2010POP,64073
6450,Arkansas,Pope County,POPESTIMATE2019,64072
4404,Michigan,Ionia County,POPESTIMATE2015,64056
1319,Minnesota,Blue Earth County,CENSUS2010POP,64013
8165,New York,Warren County,POPESTIMATE2019,63944
408,Georgia,Catoosa County,CENSUS2010POP,63942
1263,Michigan,Ionia County,CENSUS2010POP,63905
7570,Michigan,Montcalm County,POPESTIMATE2019,63888
4232,Kentucky,Pulaski County,POPESTIMATE2015,63862
3652,Georgia,Spalding County,POPESTIMATE2015,63818
1813,New Mexico,Otero County,CENSUS2010POP,63797
5396,Pennsylvania,Carbon County,POPESTIMATE2015,63753
4930,New Jersey,Salem County,POPESTIMATE2015,63732
5064,North Carolina,Franklin County,POPESTIMATE2015,63668
5483,South Carolina,Kershaw County,POPESTIMATE2015,63661
3309,Arkansas,Pope County,POPESTIMATE2015,63608
4105,Kansas,Reno County,POPESTIMATE2015,63596
5111,North Carolina,Sampson County,POPESTIMATE2015,63559
8252,North Carolina,Sampson County,POPESTIMATE2019,63531
6345,Alabama,Walker County,POPESTIMATE2019,63521
2887,Virginia,Pittsylvania County,CENSUS2010POP,63506
1907,North Carolina,Chatham County,CENSUS2010POP,63505
5876,Texas,Starr County,POPESTIMATE2015,63484
237,California,Tehama County,CENSUS2010POP,63463
474,Georgia,Liberty County,CENSUS2010POP,63453
1970,North Carolina,Sampson County,CENSUS2010POP,63431
6195,Wisconsin,Chippewa County,POPESTIMATE2015,63421
3604,Georgia,Jackson County,POPESTIMATE2015,63418
1621,Montana,Lewis and Clark County,CENSUS2010POP,63395
5599,Tennessee,Hamblen County,POPESTIMATE2015,63353
7718,Mississippi,Lamar County,POPESTIMATE2019,63343
1288,Michigan,Montcalm County,CENSUS2010POP,63342
6243,Wisconsin,Sauk County,POPESTIMATE2015,63271
6409,Arkansas,Crawford County,POPESTIMATE2019,63257
5294,Oklahoma,Garfield County,POPESTIMATE2015,63248
4471,Minnesota,Crow Wing County,POPESTIMATE2015,63229
1884,New York,Washington County,CENSUS2010POP,63216
3378,California,Tehama County,POPESTIMATE2015,63158
1837,New York,Columbia County,CENSUS2010POP,63096
3525,Florida,Walton County,POPESTIMATE2015,63066
1091,Kentucky,Pulaski County,CENSUS2010POP,63063
8241,North Carolina,Pender County,POPESTIMATE2019,63060
2212,Oregon,Coos County,CENSUS2010POP,63043
3842,Indiana,Boone County,POPESTIMATE2015,63033
7064,Indiana,Warrick County,POPESTIMATE2019,62998
8134,New York,Livingston County,POPESTIMATE2019,62914
5911,Texas,Wise County,POPESTIMATE2015,62857
6502,California,San Benito County,POPESTIMATE2019,62808
8254,North Carolina,Stanly County,POPESTIMATE2019,62806
4429,Michigan,Montcalm County,POPESTIMATE2015,62763
8618,South Carolina,Georgetown County,POPESTIMATE2019,62680
4253,Louisiana,Acadia Parish,POPESTIMATE2015,62679
4989,New York,Herkimer County,POPESTIMATE2015,62652
5353,Oregon,Coos County,POPESTIMATE2015,62643
5939,Utah,Tooele County,POPESTIMATE2015,62639
2250,Pennsylvania,Bradford County,CENSUS2010POP,62622
2458,Tennessee,Hamblen County,CENSUS2010POP,62544
1330,Minnesota,Crow Wing County,CENSUS2010POP,62500
2085,Ohio,Lawrence County,CENSUS2010POP,62450
3054,Wisconsin,Chippewa County,CENSUS2010POP,62415
8071,New Jersey,Salem County,POPESTIMATE2019,62385
8365,Ohio,Knox County,POPESTIMATE2019,62322
8214,North Carolina,Haywood County,POPESTIMATE2019,62317
3018,West Virginia,Mercer County,CENSUS2010POP,62264
1865,New York,Otsego County,CENSUS2010POP,62259
5025,New York,Washington County,POPESTIMATE2015,62246
4467,Minnesota,Clay County,POPESTIMATE2015,62169
7394,Louisiana,Acadia Parish,POPESTIMATE2019,62045
6028,Virginia,Pittsylvania County,POPESTIMATE2015,62010
7246,Kansas,Reno County,POPESTIMATE2019,61998
3102,Wisconsin,Sauk County,CENSUS2010POP,61976
127,Arkansas,Crawford County,CENSUS2010POP,61948
3268,Arkansas,Crawford County,POPESTIMATE2015,61904
4230,Kentucky,Pike County,POPESTIMATE2015,61781
8223,North Carolina,Lee County,POPESTIMATE2019,61779
2125,Ohio,Washington County,CENSUS2010POP,61778
1112,Louisiana,Acadia Parish,CENSUS2010POP,61773
168,Arkansas,Pope County,CENSUS2010POP,61754
2342,South Carolina,Kershaw County,CENSUS2010POP,61697
2039,North Dakota,Ward County,CENSUS2010POP,61675
5391,Pennsylvania,Bradford County,POPESTIMATE2015,61644
8914,Texas,Hood County,POPESTIMATE2019,61643
2815,Vermont,Rutland County,CENSUS2010POP,61642
3615,Georgia,Liberty County,POPESTIMATE2015,61611
8792,Tennessee,Tipton County,POPESTIMATE2019,61599
7519,Michigan,Barry County,POPESTIMATE2019,61550
5651,Tennessee,Tipton County,POPESTIMATE2015,61533
3923,Indiana,Warrick County,POPESTIMATE2015,61522
5477,South Carolina,Georgetown County,POPESTIMATE2015,61456
6756,Georgia,Liberty County,POPESTIMATE2019,61435
4978,New York,Columbia County,POPESTIMATE2015,61434
7974,Nebraska,Hall County,POPESTIMATE2019,61353
8130,New York,Herkimer County,POPESTIMATE2019,61319
8045,New Hampshire,Belknap County,POPESTIMATE2019,61303
1304,Michigan,St. Joseph County,CENSUS2010POP,61295
8166,New York,Washington County,POPESTIMATE2019,61204
6159,West Virginia,Mercer County,POPESTIMATE2015,61133
4833,Nebraska,Hall County,POPESTIMATE2015,61132
8683,South Dakota,Lincoln County,POPESTIMATE2019,61128
2510,Tennessee,Tipton County,CENSUS2010POP,61081
8435,Oklahoma,Garfield County,POPESTIMATE2019,61056
5266,Ohio,Washington County,POPESTIMATE2015,61020
5224,Ohio,Knox County,POPESTIMATE2015,61001
6115,Washington,Mason County,POPESTIMATE2015,60991
2735,Texas,Starr County,CENSUS2010POP,60968
4577,Mississippi,Lamar County,POPESTIMATE2015,60966
7586,Michigan,St. Joseph County,POPESTIMATE2019,60964
2113,Ohio,Sandusky County,CENSUS2010POP,60944
5226,Ohio,Lawrence County,POPESTIMATE2015,60923
2083,Ohio,Knox County,CENSUS2010POP,60921
7336,Kentucky,Laurel County,POPESTIMATE2019,60813
4445,Michigan,St. Joseph County,POPESTIMATE2015,60804
9269,Washington,Walla Walla County,POPESTIMATE2019,60760
2974,Washington,Mason County,CENSUS2010POP,60699
5113,North Carolina,Stanly County,POPESTIMATE2015,60622
1923,North Carolina,Franklin County,CENSUS2010POP,60619
1972,North Carolina,Stanly County,CENSUS2010POP,60585
2153,Oklahoma,Garfield County,CENSUS2010POP,60580
8726,Tennessee,Cumberland County,POPESTIMATE2019,60520
5006,New York,Otsego County,POPESTIMATE2015,60504
463,Georgia,Jackson County,CENSUS2010POP,60485
8209,North Carolina,Granville County,POPESTIMATE2019,60443
4904,New Hampshire,Belknap County,POPESTIMATE2015,60370
9169,Virginia,Pittsylvania County,POPESTIMATE2019,60354
8532,Pennsylvania,Bradford County,POPESTIMATE2019,60323
1084,Kentucky,Oldham County,CENSUS2010POP,60316
632,Illinois,Jackson County,CENSUS2010POP,60218
2336,South Carolina,Georgetown County,CENSUS2010POP,60158
1763,New Hampshire,Belknap County,CENSUS2010POP,60088
1845,New York,Genesee County,CENSUS2010POP,60079
6549,Colorado,Garfield County,POPESTIMATE2019,60061
6128,Washington,Walla Walla County,POPESTIMATE2015,59932
4195,Kentucky,Laurel County,POPESTIMATE2015,59919
4309,Louisiana,Vermilion Parish,POPESTIMATE2015,59918
1927,North Carolina,Granville County,CENSUS2010POP,59916
8407,Ohio,Washington County,POPESTIMATE2019,59911
1443,Mississippi,Lowndes County,CENSUS2010POP,59779
4584,Mississippi,Lowndes County,POPESTIMATE2015,59697
782,Indiana,Warrick County,CENSUS2010POP,59689
5073,North Carolina,Haywood County,POPESTIMATE2015,59646
2080,Ohio,Huron County,CENSUS2010POP,59626
5956,Vermont,Rutland County,POPESTIMATE2015,59544
2816,Vermont,Washington County,CENSUS2010POP,59534
7450,Louisiana,Vermilion Parish,POPESTIMATE2019,59511
1942,North Carolina,Lenoir County,CENSUS2010POP,59495
8147,New York,Otsego County,POPESTIMATE2019,59493
5254,Ohio,Sandusky County,POPESTIMATE2015,59475
8367,Ohio,Lawrence County,POPESTIMATE2019,59463
8119,New York,Columbia County,POPESTIMATE2019,59461
4378,Michigan,Barry County,POPESTIMATE2015,59426
5082,North Carolina,Lee County,POPESTIMATE2015,59371
3773,Illinois,Jackson County,POPESTIMATE2015,59214
1237,Michigan,Barry County,CENSUS2010POP,59173
2770,Texas,Wise County,CENSUS2010POP,59127
1932,North Carolina,Haywood County,CENSUS2010POP,59036
7820,Missouri,Lincoln County,POPESTIMATE2019,59013
1326,Minnesota,Clay County,CENSUS2010POP,58999
8403,Ohio,Union County,POPESTIMATE2019,58988
5060,North Carolina,Duplin County,POPESTIMATE2015,58883
1054,Kentucky,Laurel County,CENSUS2010POP,58849
3197,Alabama,Russell County,POPESTIMATE2015,58844
2987,Washington,Walla Walla County,CENSUS2010POP,58781
9300,West Virginia,Mercer County,POPESTIMATE2019,58758
7650,Minnesota,Otter Tail County,POPESTIMATE2019,58746
8201,North Carolina,Duplin County,POPESTIMATE2019,58741
8965,Texas,Maverick County,POPESTIMATE2019,58722
6360,Alaska,Kenai Peninsula Borough,POPESTIMATE2019,58708
5957,Vermont,Washington County,POPESTIMATE2015,58652
1692,Nebraska,Hall County,CENSUS2010POP,58607
7725,Mississippi,Lowndes County,POPESTIMATE2019,58595
8395,Ohio,Sandusky County,POPESTIMATE2019,58518
1919,North Carolina,Duplin County,CENSUS2010POP,58505
691,Illinois,Whiteside County,CENSUS2010POP,58498
4986,New York,Genesee County,POPESTIMATE2015,58462
8084,New Mexico,Eddy County,POPESTIMATE2019,58460
2522,Texas,Anderson County,CENSUS2010POP,58458
8388,Ohio,Pickaway County,POPESTIMATE2019,58457
9098,Vermont,Washington County,POPESTIMATE2019,58409
5221,Ohio,Huron County,POPESTIMATE2015,58307
8362,Ohio,Huron County,POPESTIMATE2019,58266
7836,Missouri,Newton County,POPESTIMATE2019,58236
2798,Utah,Tooele County,CENSUS2010POP,58218
5585,Tennessee,Cumberland County,POPESTIMATE2015,58217
3361,California,San Benito County,POPESTIMATE2015,58216
9097,Vermont,Rutland County,POPESTIMATE2019,58191
5068,North Carolina,Granville County,POPESTIMATE2015,58162
4695,Missouri,Newton County,POPESTIMATE2015,58138
1554,Missouri,Newton County,CENSUS2010POP,58114
1912,North Carolina,Columbus County,CENSUS2010POP,58098
3219,Alaska,Kenai Peninsula Borough,POPESTIMATE2015,58034
1168,Louisiana,Vermilion Parish,CENSUS2010POP,57999
5083,North Carolina,Lenoir County,POPESTIMATE2015,57981
7466,Maine,Oxford County,POPESTIMATE2019,57975
6731,Georgia,Gordon County,POPESTIMATE2019,57963
6338,Alabama,Russell County,POPESTIMATE2019,57961
7371,Kentucky,Pike County,POPESTIMATE2019,57876
1941,North Carolina,Lee County,CENSUS2010POP,57866
1184,Maine,Oxford County,CENSUS2010POP,57833
6286,Alabama,Blount County,POPESTIMATE2019,57826
8804,Texas,Anderson County,POPESTIMATE2019,57735
5824,Texas,Maverick County,POPESTIMATE2015,57720
4943,New Mexico,Eddy County,POPESTIMATE2015,57715
3408,Colorado,Garfield County,POPESTIMATE2015,57698
5663,Texas,Anderson County,POPESTIMATE2015,57639
8903,Texas,Hardin County,POPESTIMATE2019,57602
9338,Wisconsin,Columbia County,POPESTIMATE2019,57532
3145,Alabama,Blount County,POPESTIMATE2015,57526
4509,Minnesota,Otter Tail County,POPESTIMATE2015,57520
8037,Nevada,Lyon County,POPESTIMATE2019,57510
5100,North Carolina,Pender County,POPESTIMATE2015,57426
2436,Tennessee,Carter County,CENSUS2010POP,57424
2294,Pennsylvania,Pike County,CENSUS2010POP,57369
4,Alabama,Blount County,CENSUS2010POP,57322
1368,Minnesota,Otter Tail County,CENSUS2010POP,57303
8607,South Carolina,Cherokee County,POPESTIMATE2019,57300
8127,New York,Genesee County,POPESTIMATE2019,57280
4325,Maine,Oxford County,POPESTIMATE2015,57164
9291,West Virginia,Jefferson County,POPESTIMATE2019,57146
3577,Georgia,Effingham County,POPESTIMATE2015,57076
7378,Kentucky,Scott County,POPESTIMATE2019,57004
5247,Ohio,Pickaway County,POPESTIMATE2015,56989
3832,Illinois,Whiteside County,POPESTIMATE2015,56919
3056,Wisconsin,Columbia County,CENSUS2010POP,56833
2463,Tennessee,Hawkins County,CENSUS2010POP,56833
8745,Tennessee,Hawkins County,POPESTIMATE2019,56786
6156,West Virginia,Marion County,POPESTIMATE2015,56761
6914,Illinois,Jackson County,POPESTIMATE2019,56750
2115,Ohio,Seneca County,CENSUS2010POP,56745
6197,Wisconsin,Columbia County,POPESTIMATE2015,56682
5053,North Carolina,Columbus County,POPESTIMATE2015,56675
2818,Vermont,Windsor County,CENSUS2010POP,56670
701,Indiana,Boone County,CENSUS2010POP,56640
6171,West Virginia,Putnam County,POPESTIMATE2015,56592
9037,Texas,Van Zandt County,POPESTIMATE2019,56590
7607,Minnesota,Chisago County,POPESTIMATE2019,56579
1921,North Carolina,Edgecombe County,CENSUS2010POP,56552
8724,Tennessee,Coffee County,POPESTIMATE2019,56520
5466,South Carolina,Cherokee County,POPESTIMATE2015,56512
9312,West Virginia,Putnam County,POPESTIMATE2019,56450
3015,West Virginia,Marion County,CENSUS2010POP,56418
8718,Tennessee,Carter County,POPESTIMATE2019,56391
267,Colorado,Garfield County,CENSUS2010POP,56389
5577,Tennessee,Carter County,POPESTIMATE2015,56375
5604,Tennessee,Hawkins County,POPESTIMATE2015,56370
3590,Georgia,Gordon County,POPESTIMATE2015,56324
5992,Virginia,Franklin County,POPESTIMATE2015,56227
6560,Colorado,La Plata County,POPESTIMATE2019,56221
8265,North Carolina,Watauga County,POPESTIMATE2019,56177
2851,Virginia,Franklin County,CENSUS2010POP,56159
9297,West Virginia,Marion County,POPESTIMATE2019,56072
6150,West Virginia,Jefferson County,POPESTIMATE2015,56070
2444,Tennessee,Cumberland County,CENSUS2010POP,56053
9059,Utah,Box Elder County,POPESTIMATE2019,56046
9133,Virginia,Franklin County,POPESTIMATE2019,56042
8224,North Carolina,Lenoir County,POPESTIMATE2019,55949
7869,Missouri,Taney County,POPESTIMATE2019,55928
8044,Nevada,Carson City,POPESTIMATE2019,55916
251,Colorado,Broomfield County,CENSUS2010POP,55889
6282,Alabama,Autauga County,POPESTIMATE2019,55869
1454,Mississippi,Pearl River County,CENSUS2010POP,55834
8437,Oklahoma,Grady County,POPESTIMATE2019,55834
8576,Pennsylvania,Pike County,POPESTIMATE2019,55809
5762,Texas,Hardin County,POPESTIMATE2015,55758
1308,Michigan,Tuscola County,CENSUS2010POP,55729
2106,Ohio,Pickaway County,CENSUS2010POP,55698
1436,Mississippi,Lamar County,CENSUS2010POP,55658
5256,Ohio,Seneca County,POPESTIMATE2015,55650
971,Kansas,Saline County,CENSUS2010POP,55606
5959,Vermont,Windsor County,POPESTIMATE2015,55541
7736,Mississippi,Pearl River County,POPESTIMATE2019,55535
1844,New York,Fulton County,CENSUS2010POP,55531
8194,North Carolina,Columbus County,POPESTIMATE2019,55508
3030,West Virginia,Putnam County,CENSUS2010POP,55486
4112,Kansas,Saline County,POPESTIMATE2015,55429
78,Alaska,Kenai Peninsula Borough,CENSUS2010POP,55400
240,California,Tuolumne County,CENSUS2010POP,55365
5975,Virginia,Campbell County,POPESTIMATE2015,55356
2325,South Carolina,Cherokee County,CENSUS2010POP,55342
5435,Pennsylvania,Pike County,POPESTIMATE2015,55322
1762,Nevada,Carson City,CENSUS2010POP,55274
220,California,San Benito County,CENSUS2010POP,55269
9040,Texas,Waller County,POPESTIMATE2019,55246
6298,Alabama,Colbert County,POPESTIMATE2019,55241
8217,North Carolina,Hoke County,POPESTIMATE2019,55234
5773,Texas,Hood County,POPESTIMATE2015,55227
449,Georgia,Gordon County,CENSUS2010POP,55186
8397,Ohio,Seneca County,POPESTIMATE2019,55178
6973,Illinois,Whiteside County,POPESTIMATE2019,55175
6545,Colorado,Eagle County,POPESTIMATE2019,55127
9100,Vermont,Windsor County,POPESTIMATE2019,55062
384,Florida,Walton County,CENSUS2010POP,55043
7462,Maine,Hancock County,POPESTIMATE2019,54987
2303,Pennsylvania,Venango County,CENSUS2010POP,54984
4595,Mississippi,Pearl River County,POPESTIMATE2015,54944
9116,Virginia,Campbell County,POPESTIMATE2019,54885
2909,Virginia,Washington County,CENSUS2010POP,54876
3141,Alabama,Autauga County,POPESTIMATE2015,54864
2834,Virginia,Campbell County,CENSUS2010POP,54842
9068,Utah,Iron County,POPESTIMATE2019,54839
1930,North Carolina,Halifax County,CENSUS2010POP,54691
3419,Colorado,La Plata County,POPESTIMATE2015,54687
6687,Georgia,Camden County,POPESTIMATE2019,54666
1162,Louisiana,St. Mary Parish,CENSUS2010POP,54650
2621,Texas,Hardin County,CENSUS2010POP,54635
0,Alabama,Autauga County,CENSUS2010POP,54571
4679,Missouri,Lincoln County,POPESTIMATE2015,54567
5296,Oklahoma,Grady County,POPESTIMATE2015,54559
8753,Tennessee,Jefferson County,POPESTIMATE2019,54495
6522,California,Tuolumne County,POPESTIMATE2019,54478
16,Alabama,Colbert County,CENSUS2010POP,54428
1180,Maine,Hancock County,CENSUS2010POP,54418
3157,Alabama,Colbert County,POPESTIMATE2015,54417
9004,Texas,Rusk County,POPESTIMATE2019,54406
5262,Ohio,Union County,POPESTIMATE2015,54388
6050,Virginia,Washington County,POPESTIMATE2015,54268
2683,Texas,Maverick County,CENSUS2010POP,54258
4321,Maine,Hancock County,POPESTIMATE2015,54237
7253,Kansas,Saline County,POPESTIMATE2019,54224
4728,Missouri,Taney County,POPESTIMATE2015,54216
2499,Tennessee,Roane County,CENSUS2010POP,54181
597,Illinois,Boone County,CENSUS2010POP,54165
2862,Virginia,Henry County,CENSUS2010POP,54151
4466,Minnesota,Chisago County,POPESTIMATE2015,54129
7330,Kentucky,Jessamine County,POPESTIMATE2019,54115
5583,Tennessee,Coffee County,POPESTIMATE2015,54093
4903,Nevada,Carson City,POPESTIMATE2015,54068
8761,Tennessee,Loudon County,POPESTIMATE2019,54068
7814,Missouri,Johnson County,POPESTIMATE2019,54062
7717,Mississippi,Lafayette County,POPESTIMATE2019,54019
6381,Arizona,Gila County,POPESTIMATE2019,54018
8730,Tennessee,Dickson County,POPESTIMATE2019,53948
1325,Minnesota,Chisago County,CENSUS2010POP,53887
608,Illinois,Coles County,CENSUS2010POP,53873
3404,Colorado,Eagle County,POPESTIMATE2015,53865
4302,Louisiana,St. Martin Parish,POPESTIMATE2015,53831
1802,New Mexico,Eddy County,CENSUS2010POP,53829
4985,New York,Fulton County,POPESTIMATE2015,53801
8762,Tennessee,McMinn County,POPESTIMATE2019,53794
5062,North Carolina,Edgecombe County,POPESTIMATE2015,53743
9191,Virginia,Washington County,POPESTIMATE2019,53740
4449,Michigan,Tuscola County,POPESTIMATE2015,53726
3381,California,Tuolumne County,POPESTIMATE2015,53615
99,Arizona,Gila County,CENSUS2010POP,53597
3738,Illinois,Boone County,POPESTIMATE2015,53579
6879,Illinois,Boone County,POPESTIMATE2019,53544
3009,West Virginia,Jefferson County,CENSUS2010POP,53498
664,Illinois,Ogle County,CENSUS2010POP,53497
4673,Missouri,Johnson County,POPESTIMATE2015,53496
8326,Ohio,Ashland County,POPESTIMATE2019,53484
7443,Louisiana,St. Martin Parish,POPESTIMATE2019,53431
5896,Texas,Van Zandt County,POPESTIMATE2015,53430
8126,New York,Fulton County,POPESTIMATE2019,53383
8781,Tennessee,Roane County,POPESTIMATE2019,53382
2722,Texas,Rusk County,CENSUS2010POP,53330
5185,Ohio,Ashland County,POPESTIMATE2015,53310
35,Alabama,Jackson County,CENSUS2010POP,53227
4707,Missouri,Pulaski County,POPESTIMATE2015,53204
2044,Ohio,Ashland County,CENSUS2010POP,53139
7438,Louisiana,St. Charles Parish,POPESTIMATE2019,53100
5124,North Carolina,Watauga County,POPESTIMATE2015,53093
9211,Virginia,Harrisonburg city,POPESTIMATE2019,53016
5612,Tennessee,Jefferson County,POPESTIMATE2015,53011
3240,Arizona,Gila County,POPESTIMATE2015,52978
5863,Texas,Rusk County,POPESTIMATE2015,52965
2060,Ohio,Darke County,CENSUS2010POP,52959
5542,South Dakota,Lincoln County,POPESTIMATE2015,52959
5444,Pennsylvania,Venango County,POPESTIMATE2015,52954
56,Alabama,Russell County,CENSUS2010POP,52947
641,Illinois,Knox County,CENSUS2010POP,52919
4303,Louisiana,St. Mary Parish,POPESTIMATE2015,52876
2306,Pennsylvania,Wayne County,CENSUS2010POP,52822
2442,Tennessee,Coffee County,CENSUS2010POP,52796
1156,Louisiana,St. Charles Parish,CENSUS2010POP,52780
8031,Nevada,Elko County,POPESTIMATE2019,52778
5640,Tennessee,Roane County,POPESTIMATE2015,52770
5076,North Carolina,Hoke County,POPESTIMATE2015,52739
4576,Mississippi,Lafayette County,POPESTIMATE2015,52736
6070,Virginia,Harrisonburg city,POPESTIMATE2015,52675
8840,Texas,Cherokee County,POPESTIMATE2019,52646
7848,Missouri,Pulaski County,POPESTIMATE2019,52607
9124,Virginia,Culpeper County,POPESTIMATE2019,52605
8936,Texas,Kerr County,POPESTIMATE2019,52600
1532,Missouri,Johnson County,CENSUS2010POP,52595
2755,Texas,Van Zandt County,CENSUS2010POP,52579
4297,Louisiana,St. Charles Parish,POPESTIMATE2015,52572
1538,Missouri,Lincoln County,CENSUS2010POP,52566
5621,Tennessee,McMinn County,POPESTIMATE2015,52502
3546,Georgia,Camden County,POPESTIMATE2015,52439
2155,Oklahoma,Grady County,CENSUS2010POP,52431
3114,Wisconsin,Waupaca County,CENSUS2010POP,52410
8493,Oregon,Columbia County,POPESTIMATE2019,52354
6297,Alabama,Coffee County,POPESTIMATE2019,52342
1169,Louisiana,Vernon Parish,CENSUS2010POP,52334
2121,Ohio,Union County,CENSUS2010POP,52300
1243,Michigan,Cass County,CENSUS2010POP,52293
7496,Maryland,Worcester County,POPESTIMATE2019,52276
1566,Missouri,Pulaski County,CENSUS2010POP,52274
2480,Tennessee,McMinn County,CENSUS2010POP,52266
436,Georgia,Effingham County,CENSUS2010POP,52250
7590,Michigan,Tuscola County,POPESTIMATE2019,52245
1188,Maine,Somerset County,CENSUS2010POP,52228
1959,North Carolina,Pender County,CENSUS2010POP,52217
263,Colorado,Eagle County,CENSUS2010POP,52197
3176,Alabama,Jackson County,POPESTIMATE2015,52195
5071,North Carolina,Halifax County,POPESTIMATE2015,52182
3749,Illinois,Coles County,POPESTIMATE2015,52179
1161,Louisiana,St. Martin Parish,CENSUS2010POP,52160
4237,Kentucky,Scott County,POPESTIMATE2015,52155
5344,Oklahoma,Washington County,POPESTIMATE2015,52091
6208,Wisconsin,Grant County,POPESTIMATE2015,52071
5201,Ohio,Darke County,POPESTIMATE2015,51981
1755,Nevada,Lyon County,CENSUS2010POP,51980
4896,Nevada,Lyon County,POPESTIMATE2015,51974
6003,Virginia,Henry County,POPESTIMATE2015,51940
5918,Utah,Box Elder County,POPESTIMATE2015,51826
5447,Pennsylvania,Wayne County,POPESTIMATE2015,51823
4189,Kentucky,Jessamine County,POPESTIMATE2015,51809
7525,Michigan,Cass County,POPESTIMATE2019,51787
4890,Nevada,Elko County,POPESTIMATE2015,51728
6255,Wisconsin,Waupaca County,POPESTIMATE2015,51680
1587,Missouri,Taney County,CENSUS2010POP,51675
6317,Alabama,Jackson County,POPESTIMATE2019,51626
1843,New York,Franklin County,CENSUS2010POP,51599
8966,Texas,Medina County,POPESTIMATE2019,51584
5699,Texas,Cherokee County,POPESTIMATE2015,51568
3805,Illinois,Ogle County,POPESTIMATE2015,51559
8485,Oklahoma,Washington County,POPESTIMATE2019,51527
8203,North Carolina,Edgecombe County,POPESTIMATE2019,51472
7160,Iowa,Warren County,POPESTIMATE2019,51466
1397,Minnesota,Winona County,CENSUS2010POP,51461
4355,Maryland,Worcester County,POPESTIMATE2015,51456
1214,Maryland,Worcester County,CENSUS2010POP,51454
9349,Wisconsin,Grant County,POPESTIMATE2019,51439
4310,Louisiana,Vernon Parish,POPESTIMATE2015,51431
2471,Tennessee,Jefferson County,CENSUS2010POP,51407
3782,Illinois,Knox County,POPESTIMATE2015,51370
