,STNAME,CTYNAME,Year,Population
6506,California,San Joaquin County,POPESTIMATE2019,762148
6700,Georgia,Cobb County,POPESTIMATE2019,760141
6711,Georgia,DeKalb County,POPESTIMATE2019,759297
4995,New York,Monroe County,POPESTIMATE2015,745577
1854,New York,Monroe County,CENSUS2010POP,744344
1220,Massachusetts,Essex County,CENSUS2010POP,743159
8136,New York,Monroe County,POPESTIMATE2019,741770
1047,Kentucky,Jefferson County,CENSUS2010POP,741096
3559,Georgia,Cobb County,POPESTIMATE2015,739052
2232,Oregon,Multnomah County,CENSUS2010POP,735334
3570,Georgia,DeKalb County,POPESTIMATE2015,734434
6542,Colorado,Denver County,POPESTIMATE2019,727211
6653,Florida,Polk County,POPESTIMATE2019,724777
3365,California,San Joaquin County,POPESTIMATE2015,722271
1228,Massachusetts,Suffolk County,CENSUS2010POP,722023
6547,Colorado,El Paso County,POPESTIMATE2019,720403
2184,Oklahoma,Oklahoma County,CENSUS2010POP,718633
226,California,San Mateo County,CENSUS2010POP,718451
5741,Texas,Fort Bend County,POPESTIMATE2015,715331
2982,Washington,Snohomish County,CENSUS2010POP,713335
7508,Massachusetts,Norfolk County,POPESTIMATE2019,706775
3783,Illinois,Lake County,POPESTIMATE2015,704611
642,Illinois,Lake County,CENSUS2010POP,703462
7811,Missouri,Jackson County,POPESTIMATE2019,703011
3494,Florida,Lee County,POPESTIMATE2015,699644
6924,Illinois,Lake County,POPESTIMATE2019,696535
4367,Massachusetts,Norfolk County,POPESTIMATE2015,694502
8727,Tennessee,Davidson County,POPESTIMATE2019,694144
429,Georgia,DeKalb County,CENSUS2010POP,691893
6974,Illinois,Will County,POPESTIMATE2019,690743
418,Georgia,Cobb County,CENSUS2010POP,688078
4670,Missouri,Jackson County,POPESTIMATE2015,686783
3833,Illinois,Will County,POPESTIMATE2015,685877
224,California,San Joaquin County,CENSUS2010POP,685306
3401,Colorado,Denver County,POPESTIMATE2015,683285
5586,Tennessee,Davidson County,POPESTIMATE2015,679793
8076,New Mexico,Bernalillo County,POPESTIMATE2019,679121
692,Illinois,Will County,CENSUS2010POP,677560
4935,New Mexico,Bernalillo County,POPESTIMATE2015,676248
1529,Missouri,Jackson County,CENSUS2010POP,674158
3406,Colorado,El Paso County,POPESTIMATE2015,674001
8063,New Jersey,Hudson County,POPESTIMATE2019,672391
1226,Massachusetts,Norfolk County,CENSUS2010POP,670850
4922,New Jersey,Hudson County,POPESTIMATE2015,664492
2582,Texas,Denton County,CENSUS2010POP,662614
1794,New Mexico,Bernalillo County,CENSUS2010POP,662564
3177,Alabama,Jefferson County,POPESTIMATE2015,660455
6318,Alabama,Jefferson County,POPESTIMATE2019,658573
36,Alabama,Jefferson County,CENSUS2010POP,658466
7552,Michigan,Kent County,POPESTIMATE2019,656955
6528,Colorado,Arapahoe County,POPESTIMATE2019,656590
8483,Oklahoma,Tulsa County,POPESTIMATE2019,651552
3512,Florida,Polk County,POPESTIMATE2015,648523
