,STNAME,CTYNAME,POPESTIMATE2019,BIRTHS2019
2353,Rhode Island,Newport County,82082,695
2945,Virginia,Rockingham County,81948,855
2021,North Carolina,Wilson County,81801,944
2227,Oklahoma,Payne County,81784,815
956,Kansas,Leavenworth County,81758,940
1025,Kentucky,Bullitt County,81676,777
1631,Montana,Cascade County,81366,1054
2240,Oklahoma,Wagoner County,81289,853
26,Alabama,Elmore County,81209,932
3021,Washington,Lewis County,80707,895
1870,New York,Clinton County,80485,756
2541,Tennessee,Putnam County,80245,879
61,Alabama,Talladega County,79978,844
3182,Wyoming,Natrona County,79858,953
413,Georgia,Bulloch County,79608,890
1272,Michigan,Clinton County,79595,780
2393,South Carolina,Oconee County,79546,701
754,Indiana,Kosciusko County,79456,1029
2299,Pennsylvania,Clearfield County,79255,732
2876,Virginia,Bedford County,78997,679
3132,Wisconsin,Manitowoc County,78981,757
1524,Missouri,Cape Girardeau County,78871,899
187,Arkansas,White County,78753,881
248,California,Yuba County,78668,1149
733,Indiana,Floyd County,78522,885
741,Indiana,Hancock County,78168,846
2275,Oregon,Umatilla County,77950,949
3005,Washington,Clallam County,77331,632
3004,Washington,Chelan County,77200,851
2471,Tennessee,Anderson County,76978,792
1534,Missouri,Cole County,76745,863
1859,New Mexico,Valencia County,76688,832
2149,Ohio,Ross County,76666,844
1866,New York,Cayuga County,76576,741
2913,Virginia,James City County,76523,721
1865,New York,Cattaraugus County,76117,801
1796,New Hampshire,Cheshire County,76085,636
2616,Texas,Coryell County,75951,895
2110,Ohio,Hancock County,75783,881
700,Illinois,Vermilion County,75758,918
1333,Michigan,Van Buren County,75677,865
2874,Virginia,Augusta County,75558,534
1913,New York,Sullivan County,75432,779
2151,Ohio,Scioto County,75314,825
3014,Washington,Grays Harbor County,75061,734
1443,Mississippi,Forrest County,74897,1000
383,Florida,Putnam County,74521,826
1942,North Carolina,Chatham County,74470,667
2100,Ohio,Erie County,74266,778
985,Kansas,Riley County,74232,854
373,Florida,Monroe County,74228,685
1463,Mississippi,Lauderdale County,74125,910
395,Florida,Walton County,74071,780
2338,Pennsylvania,Somerset County,73447,638
3081,West Virginia,Raleigh County,73361,723
157,Arkansas,Lonoke County,73309,858
3168,Wisconsin,Wood County,72999,798
475,Georgia,Jackson County,72977,918
2802,Texas,Walker County,72971,592
2230,Oklahoma,Pottawatomie County,72592,846
561,Hawaii,Kauai County,72293,794
2844,Utah,Tooele County,72259,1025
99,Arizona,Apache County,71887,934
2544,Tennessee,Robertson County,71813,869
2009,North Carolina,Surry County,71783,736
341,Florida,Columbia County,71686,804
2186,Oklahoma,Creek County,71522,791
25,Alabama,DeKalb County,71513,795
1844,New Mexico,McKinley County,71367,817
2896,Virginia,Fauquier County,71222,727
1840,New Mexico,Lea County,71070,1086
1887,New York,Madison County,70941,668
2380,South Carolina,Greenwood County,70811,811
3146,Wisconsin,Portage County,70772,658
766,Indiana,Morgan County,70489,780
257,Colorado,Broomfield County,70465,651
1034,Kentucky,Christian County,70461,1466
1214,Maryland,Allegany County,70416,640
1244,Massachusetts,Franklin County,70180,526
2815,Texas,Wise County,69984,789
538,Georgia,Troup County,69922,886
1290,Michigan,Isabella County,69872,660
1154,Louisiana,Iberia Parish,69830,914
543,Georgia,Walker County,69761,745
1958,North Carolina,Franklin County,69685,725
1939,North Carolina,Carteret County,69473,531
2042,North Dakota,Grand Forks County,69451,974
1649,Montana,Lewis and Clark County,69432,742
2500,Tennessee,Greene County,69069,665
2020,North Carolina,Wilkes County,68412,670
2961,Virginia,York County,68280,596
2263,Oregon,Klamath County,68238,767
1331,Michigan,Shiawassee County,68122,676
1459,Mississippi,Jones County,68098,883
2218,Oklahoma,Muskogee County,67997,821
717,Indiana,Boone County,67843,764
1344,Minnesota,Blue Earth County,67653,715
2075,North Dakota,Ward County,67641,1099
420,Georgia,Catoosa County,67580,674
2386,South Carolina,Laurens County,67493,783
1846,New Mexico,Otero County,67490,934
3057,West Virginia,Harrison County,67256,696
1603,Missouri,St. Francois County,67215,693
1198,Maine,Aroostook County,67055,613
2004,North Carolina,Rutherford County,67029,662
2085,Ohio,Belmont County,67006,608
1403,Minnesota,Rice County,66972,743
912,Kansas,Butler County,66911,731
149,Arkansas,Jefferson County,66824,788
1103,Kentucky,Oldham County,66799,606
3023,Washington,Mason County,66768,666
2771,Texas,San Patricio County,66730,915
523,Georgia,Spalding County,66703,824
1305,Michigan,Marquette County,66699,570
2372,South Carolina,Darlington County,66618,737
708,Illinois,Williamson County,66597,716
2668,Texas,Harrison County,66553,725
2384,South Carolina,Kershaw County,66551,725
800,Indiana,Wayne County,65884,757
738,Indiana,Grant County,65769,750
609,Illinois,Adams County,65435,776
1083,Kentucky,McCracken County,65418,734
2083,Ohio,Athens County,65327,477
2119,Ohio,Jefferson County,65325,638
2740,Texas,Nacogdoches County,65204,770
2129,Ohio,Marion County,65093,734
242,California,Tehama County,65084,739
1355,Minnesota,Crow Wing County,65055,648
1110,Kentucky,Pulaski County,64979,755
2301,Pennsylvania,Columbia County,64964,515
2502,Tennessee,Hamblen County,64934,780
2285,Pennsylvania,Armstrong County,64735,643
1287,Michigan,Ionia County,64697,707
3105,Wisconsin,Chippewa County,64658,654
2780,Texas,Starr County,64633,1178
1829,New Mexico,Chaves County,64615,819
2251,Oregon,Coos County,64487,599
3153,Wisconsin,Sauk County,64442,728
207,California,Lake County,64386,731
448,Georgia,Effingham County,64296,795
1351,Minnesota,Clay County,64222,851
2295,Pennsylvania,Carbon County,64182,589
172,Arkansas,Pope County,64072,765
1917,New York,Warren County,63944,529
1312,Michigan,Montcalm County,63888,728
2005,North Carolina,Sampson County,63531,825
64,Alabama,Walker County,63521,750
1462,Mississippi,Lamar County,63343,793
131,Arkansas,Crawford County,63257,758
1994,North Carolina,Pender County,63060,647
798,Indiana,Warrick County,62998,627
1886,New York,Livingston County,62914,478
225,California,San Benito County,62808,774
2007,North Carolina,Stanly County,62806,709
2378,South Carolina,Georgetown County,62680,521
1821,New Jersey,Salem County,62385,684
2120,Ohio,Knox County,62322,741
1967,North Carolina,Haywood County,62317,587
1132,Louisiana,Acadia Parish,62045,816
982,Kansas,Reno County,61998,670
1976,North Carolina,Lee County,61779,774
2677,Texas,Hood County,61643,627
2554,Tennessee,Tipton County,61599,660
1261,Michigan,Barry County,61550,625
486,Georgia,Liberty County,61435,1361
1721,Nebraska,Hall County,61353,953
1882,New York,Herkimer County,61319,560
1794,New Hampshire,Belknap County,61303,478
1918,New York,Washington County,61204,545
2444,South Dakota,Lincoln County,61128,866
2191,Oklahoma,Garfield County,61056,864
1328,Michigan,St. Joseph County,60964,726
1073,Kentucky,Laurel County,60813,724
3036,Washington,Walla Walla County,60760,610
2488,Tennessee,Cumberland County,60520,512
1962,North Carolina,Granville County,60443,601
2935,Virginia,Pittsylvania County,60354,491
2290,Pennsylvania,Bradford County,60323,632
273,Colorado,Garfield County,60061,781
2162,Ohio,Washington County,59911,594
1188,Louisiana,Vermilion Parish,59511,730
1899,New York,Otsego County,59493,485
2122,Ohio,Lawrence County,59463,610
1871,New York,Columbia County,59461,489
1565,Missouri,Lincoln County,59013,790
2158,Ohio,Union County,58988,689
3068,West Virginia,Mercer County,58758,661
1393,Minnesota,Otter Tail County,58746,648
1954,North Carolina,Duplin County,58741,664
2728,Texas,Maverick County,58722,1042
80,Alaska,Kenai Peninsula Borough,58708,665
1469,Mississippi,Lowndes County,58595,774
2150,Ohio,Sandusky County,58518,603
1835,New Mexico,Eddy County,58460,805
2143,Ohio,Pickaway County,58457,604
2863,Vermont,Washington County,58409,534
2117,Ohio,Huron County,58266,698
1581,Missouri,Newton County,58236,692
2862,Vermont,Rutland County,58191,498
1205,Maine,Oxford County,57975,461
461,Georgia,Gordon County,57963,669
57,Alabama,Russell County,57961,810
1108,Kentucky,Pike County,57876,583
5,Alabama,Blount County,57826,651
2567,Texas,Anderson County,57735,588
2666,Texas,Hardin County,57602,661
3107,Wisconsin,Columbia County,57532,602
1785,Nevada,Lyon County,57510,664
2367,South Carolina,Cherokee County,57300,652
1879,New York,Genesee County,57280,542
3059,West Virginia,Jefferson County,57146,595
1115,Kentucky,Scott County,57004,702
2507,Tennessee,Hawkins County,56786,511
647,Illinois,Jackson County,56750,614
2800,Texas,Van Zandt County,56590,635
1350,Minnesota,Chisago County,56579,600
2486,Tennessee,Coffee County,56520,700
3080,West Virginia,Putnam County,56450,504
2480,Tennessee,Carter County,56391,473
284,Colorado,La Plata County,56221,472
2018,North Carolina,Watauga County,56177,381
3065,West Virginia,Marion County,56072,594
2823,Utah,Box Elder County,56046,808
2899,Virginia,Franklin County,56042,456
1977,North Carolina,Lenoir County,55949,608
1614,Missouri,Taney County,55928,615
1792,Nevada,Carson City,55916,598
1,Alabama,Autauga County,55869,624
2193,Oklahoma,Grady County,55834,567
2334,Pennsylvania,Pike County,55809,411
1480,Mississippi,Pearl River County,55535,610
1947,North Carolina,Columbus County,55508,558
2803,Texas,Waller County,55246,683
17,Alabama,Colbert County,55241,630
1970,North Carolina,Hoke County,55234,847
2152,Ohio,Seneca County,55178,589
706,Illinois,Whiteside County,55175,610
269,Colorado,Eagle County,55127,559
2865,Vermont,Windsor County,55062,439
1201,Maine,Hancock County,54987,448
2882,Virginia,Campbell County,54885,478
2832,Utah,Iron County,54839,830
417,Georgia,Camden County,54666,768
2515,Tennessee,Jefferson County,54495,473
245,California,Tuolumne County,54478,466
2767,Texas,Rusk County,54406,562
989,Kansas,Saline County,54224,682
1067,Kentucky,Jessamine County,54115,629
2523,Tennessee,Loudon County,54068,483
1559,Missouri,Johnson County,54062,686
1461,Mississippi,Lafayette County,54019,513
102,Arizona,Gila County,54018,514
2492,Tennessee,Dickson County,53948,630
2524,Tennessee,McMinn County,53794,591
2957,Virginia,Washington County,53740,446
612,Illinois,Boone County,53544,564
2081,Ohio,Ashland County,53484,586
1181,Louisiana,St. Martin Parish,53431,663
1878,New York,Fulton County,53383,517
2543,Tennessee,Roane County,53382,473
1176,Louisiana,St. Charles Parish,53100,571
2977,Virginia,Harrisonburg city,53016,580
1779,Nevada,Elko County,52778,775
2603,Texas,Cherokee County,52646,722
1593,Missouri,Pulaski County,52607,676
2890,Virginia,Culpeper County,52605,659
2699,Texas,Kerr County,52600,530
2250,Oregon,Columbia County,52354,499
16,Alabama,Coffee County,52342,599
1236,Maryland,Worcester County,52276,402
1332,Michigan,Tuscola County,52245,536
1267,Michigan,Cass County,51787,496
36,Alabama,Jackson County,51626,562
2729,Texas,Medina County,51584,595
2241,Oklahoma,Washington County,51527,586
1956,North Carolina,Edgecombe County,51472,589
895,Iowa,Warren County,51466,586
3118,Wisconsin,Grant County,51439,561
2346,Pennsylvania,Wayne County,51361,376
2753,Texas,Polk County,51353,495
2573,Texas,Atascosa County,51153,710
2097,Ohio,Darke County,51113,618
2813,Texas,Wilson County,51070,534
640,Illinois,Grundy County,51054,576
1047,Kentucky,Franklin County,50991,605
3165,Wisconsin,Waupaca County,50990,511
2343,Pennsylvania,Venango County,50668,452
679,Illinois,Ogle County,50643,525
623,Illinois,Coles County,50621,452
2910,Virginia,Henry County,50557,400
1422,Minnesota,Winona County,50484,456
1209,Maine,Somerset County,50484,457
1230,Maryland,Queen Anne's County,50381,497
2741,Texas,Navarro County,50113,678
3038,Washington,Whitman County,50104,390
3104,Wisconsin,Calumet County,50089,477
1877,New York,Franklin County,50022,444
1965,North Carolina,Halifax County,50010,540
2266,Oregon,Lincoln County,49962,385
2705,Texas,Lamar County,49859,619
2207,Oklahoma,Le Flore County,49853,591
2472,Tennessee,Bedford County,49713,678
656,Illinois,Knox County,49699,559
1691,Nebraska,Buffalo County,49659,632
1478,Mississippi,Oktibbeha County,49587,548
726,Indiana,Dearborn County,49458,457
2857,Vermont,Franklin County,49402,569
1182,Louisiana,St. Mary Parish,49348,647
1889,New York,Montgomery County,49221,613
23,Alabama,Dale County,49172,648
2497,Tennessee,Gibson County,49133,579
2799,Texas,Val Verde County,49025,759
1116,Kentucky,Shelby County,49024,550
1315,Michigan,Newaygo County,48980,539
1832,New Mexico,Curry County,48954,824
645,Illinois,Henry County,48913,479
1795,New Hampshire,Carroll County,48910,325
1778,Nevada,Douglas County,48905,287
2178,Oklahoma,Cherokee County,48657,556
2153,Ohio,Shelby County,48590,613
2351,Rhode Island,Bristol County,48479,337
1914,New York,Tioga County,48203,425
2593,Texas,Burnet County,48155,468
2177,Oklahoma,Carter County,48111,630
2209,Oklahoma,Logan County,48011,494
2174,Oklahoma,Bryan County,47995,589
744,Indiana,Henry County,47972,448
132,Arkansas,Crittenden County,47955,722
3019,Washington,Kittitas County,47935,426
2287,Pennsylvania,Bedford County,47888,447
272,Colorado,Fremont County,47839,381
768,Indiana,Noble County,47744,632
1448,Mississippi,Hancock County,47632,453
1872,New York,Cortland County,47581,472
484,Georgia,Laurens County,47546,615
2696,Texas,Kendall County,47431,403
1189,Louisiana,Vernon Parish,47429,828
2965,Virginia,Charlottesville city,47266,568
1175,Louisiana,St. Bernard Parish,47244,632
1869,New York,Chenango County,47207,470
1880,New York,Greene County,47188,384
1341,Minnesota,Beltrami County,47188,638
1930,North Carolina,Beaufort County,46994,439
2224,Oklahoma,Osage County,46963,418
569,Idaho,Bingham County,46811,593
1162,Louisiana,Lincoln Parish,46742,516
1020,Kentucky,Boyd County,46718,493
2532,Tennessee,Monroe County,46545,484
1787,Nevada,Nye County,46523,379
111,Arizona,Santa Cruz County,46498,619
827,Iowa,Clinton County,46429,508
360,Florida,Jackson County,46414,502
3172,Wyoming,Campbell County,46341,597
1362,Minnesota,Goodhue County,46340,503
1523,Missouri,Camden County,46305,381
2332,Pennsylvania,Perry County,46272,493
761,Indiana,Marshall County,46258,582
3138,Wisconsin,Monroe County,46253,559
1100,Kentucky,Nelson County,46233,552
1190,Louisiana,Washington Parish,46194,600
2326,Pennsylvania,Mifflin County,46138,574
1862,New York,Allegany County,46091,445
195,California,Calaveras County,45905,397
1979,North Carolina,McDowell County,45756,437
572,Idaho,Bonner County,45739,426
3033,Washington,Stevens County,45723,434
2124,Ohio,Logan County,45672,547
348,Florida,Gadsden County,45660,520
2084,Ohio,Auglaize County,45656,559
2369,South Carolina,Chesterfield County,45650,496
1283,Michigan,Hillsdale County,45605,509
432,Georgia,Colquitt County,45600,605
2008,North Carolina,Stokes County,45591,387
2816,Texas,Wood County,45539,403
1500,Mississippi,Warren County,45381,576
758,Indiana,Lawrence County,45370,465
3113,Wisconsin,Dunn County,45368,430
465,Georgia,Habersham County,45328,537
142,Arkansas,Greene County,45325,587
3099,Wisconsin,Barron County,45244,486
1061,Kentucky,Henderson County,45210,521
2313,Pennsylvania,Huntingdon County,45144,354
1368,Minnesota,Itasca County,45130,441
667,Illinois,Macoupin County,44926,447
2342,Pennsylvania,Union County,44923,402
402,Georgia,Baldwin County,44890,411
2000,North Carolina,Richmond County,44829,559
1522,Missouri,Callaway County,44743,470
2127,Ohio,Madison County,44731,441
784,Indiana,Shelby County,44729,492
1064,Kentucky,Hopkins County,44686,525
1589,Missouri,Phelps County,44573,461
2014,North Carolina,Vance County,44535,571
697,Illinois,Stephenson County,44498,476
533,Georgia,Thomas County,44451,531
11,Alabama,Chilton County,44428,551
390,Florida,Suwannee County,44417,444
1015,Kentucky,Barren County,44249,557
747,Indiana,Jackson County,44231,591
2520,Tennessee,Lawrence County,44142,585
1873,New York,Delaware County,44135,345
2116,Ohio,Holmes County,43960,783
1973,North Carolina,Jackson County,43938,362
1501,Mississippi,Washington County,43909,565
2602,Texas,Chambers County,43837,561
1665,Montana,Ravalli County,43806,370
3145,Wisconsin,Polk County,43783,402
2594,Texas,Caldwell County,43664,552
2228,Oklahoma,Pittsburg County,43654,508
2948,Virginia,Shenandoah County,43616,452
237,California,Siskiyou County,43539,382
2203,Oklahoma,Kay County,43538,537
1265,Michigan,Branch County,43517,515
728,Indiana,DeKalb County,43475,508
1307,Michigan,Mecosta County,43453,396
2086,Ohio,Brown County,43432,490
3009,Washington,Douglas County,43429,542
2315,Pennsylvania,Jefferson County,43425,459
431,Georgia,Coffee County,43273,592
160,Arkansas,Miller County,43257,520
1371,Minnesota,Kandiyohi County,43199,568
2114,Ohio,Highland County,43161,530
3112,Wisconsin,Douglas County,43150,397
1803,New Hampshire,Sullivan County,43146,380
2236,Oklahoma,Stephens County,43143,491
2188,Oklahoma,Delaware County,43009,425
1953,North Carolina,Davie County,42846,385
1179,Louisiana,St. John the Baptist Parish,42837,534
293,Colorado,Montrose County,42758,428
3144,Wisconsin,Pierce County,42754,380
730,Indiana,Dubois County,42736,559
2638,Texas,Erath County,42698,480
874,Iowa,Muscatine County,42664,526
512,Georgia,Polk County,42613,580
1520,Missouri,Butler County,42478,498
821,Iowa,Cerro Gordo County,42450,442
3050,West Virginia,Fayette County,42406,402
3188,Wyoming,Sweetwater County,42343,506
1588,Missouri,Pettis County,42339,577
3024,Washington,Okanogan County,42243,493
2864,Vermont,Windham County,42222,348
2496,Tennessee,Franklin County,42208,413
376,Florida,Okeechobee County,42168,542
2843,Utah,Summit County,42145,416
2104,Ohio,Fulton County,42126,487
354,Florida,Hendry County,42022,576
2092,Ohio,Clinton County,41968,470
117,Arkansas,Baxter County,41932,349
2796,Texas,Upshur County,41753,452
2235,Oklahoma,Sequoyah County,41569,512
2807,Texas,Wharton County,41556,564
366,Florida,Levy County,41503,409
2095,Ohio,Crawford County,41494,455
3075,West Virginia,Ohio County,41411,401
2559,Tennessee,Warren County,41277,473
2615,Texas,Cooke County,41257,530
2132,Ohio,Mercer County,41172,644
1329,Michigan,Sanilac County,41170,426
2494,Tennessee,Fayette County,41133,414
2216,Oklahoma,Mayes County,41100,459
2981,Virginia,Manassas city,41085,750
3155,Wisconsin,Shawano County,40899,449
1342,Minnesota,Benton County,40889,538
2146,Ohio,Preble County,40882,441
1282,Michigan,Gratiot County,40711,366
2481,Tennessee,Cheatham County,40667,451
161,Arkansas,Mississippi County,40651,580
534,Georgia,Tift County,40644,554
2324,Pennsylvania,McKean County,40625,367
1367,Minnesota,Isanti County,40596,448
2955,Virginia,Tazewell County,40595,408
2341,Pennsylvania,Tioga County,40591,402
2140,Ohio,Ottawa County,40525,324
742,Indiana,Harrison County,40515,426
2691,Texas,Jim Wells County,40482,510
2211,Oklahoma,McClain County,40474,414
598,Idaho,Nez Perce County,40408,457
2337,Pennsylvania,Snyder County,40372,426
62,Alabama,Tallapoosa County,40367,385
1897,New York,Orleans County,40352,389
3134,Wisconsin,Marinette County,40350,375
2340,Pennsylvania,Susquehanna County,40328,352
505,Georgia,Oconee County,40280,359
2249,Oregon,Clatsop County,40224,377
2956,Virginia,Warren County,40164,457
1136,Louisiana,Avoyelles Parish,40144,510
1554,Missouri,Howell County,40117,504
592,Idaho,Latah County,40108,422
502,Georgia,Murray County,40096,475
1387,Minnesota,Mower County,40062,535
2969,Virginia,Danville city,40044,443
596,Idaho,Madison County,39907,1108
1921,New York,Wyoming County,39859,328
2477,Tennessee,Campbell County,39842,438
1993,North Carolina,Pasquotank County,39824,463
1203,Maine,Knox County,39772,307
193,California,Amador County,39752,307
1210,Maine,Waldo County,39715,330
412,Georgia,Bryan County,39627,541
755,Indiana,LaGrange County,39614,727
1620,Missouri,Webster County,39592,572
1996,North Carolina,Person County,39490,417
3090,West Virginia,Wayne County,39402,330
868,Iowa,Marshall County,39369,514
1482,Mississippi,Pike County,39288,540
3176,Wyoming,Fremont County,39261,505
2344,Pennsylvania,Warren County,39191,417
1028,Kentucky,Calloway County,39001,359
833,Iowa,Des Moines County,38967,437
1848,New Mexico,Rio Arriba County,38921,417
2089,Ohio,Champaign County,38885,412
3170,Wyoming,Albany County,38880,341
2108,Ohio,Guernsey County,38875,426
2409,South Dakota,Brown County,38839,501
103,Arizona,Graham County,38837,526
923,Kansas,Crawford County,38818,448
184,Arkansas,Union County,38682,480
2300,Pennsylvania,Clinton County,38632,368
636,Illinois,Franklin County,38469,460
2223,Oklahoma,Okmulgee County,38465,420
710,Illinois,Woodford County,38459,418
2392,South Carolina,Newberry County,38440,395
2298,Pennsylvania,Clarion County,38438,370
1563,Missouri,Lawrence County,38355,502
2938,Virginia,Prince George County,38353,327
1191,Louisiana,Webster Parish,38340,452
765,Indiana,Montgomery County,38338,426
2229,Oklahoma,Pontotoc County,38284,487
1608,Missouri,Scott County,38280,482
1166,Louisiana,Natchitoches Parish,38158,468
1358,Minnesota,Douglas County,38141,424
2098,Ohio,Defiance County,38087,427
342,Florida,DeSoto County,38001,389
3139,Wisconsin,Oconto County,37930,369
2591,Texas,Brown County,37864,382
146,Arkansas,Independence County,37825,513
720,Indiana,Cass County,37689,452
649,Illinois,Jefferson County,37684,452
2371,South Carolina,Colleton County,37677,449
2022,North Carolina,Yadkin County,37667,379
2920,Virginia,Louisa County,37591,388
2077,North Dakota,Williams County,37589,725
778,Indiana,Putnam County,37576,356
622,Illinois,Clinton County,37562,413
1925,North Carolina,Alexander County,37497,363
1137,Louisiana,Beauregard Parish,37497,531
119,Arkansas,Boone County,37432,407
2959,Virginia,Wise County,37383,336
1270,Michigan,Chippewa County,37349,318
2902,Virginia,Gloucester County,37348,338
1052,Kentucky,Graves County,37266,492
669,Illinois,Marion County,37205,451
24,Alabama,Dallas County,37196,438
854,Iowa,Jasper County,37185,406
1233,Maryland,Talbot County,37181,338
2493,Tennessee,Dyer County,37159,445
2912,Virginia,Isle of Wight County,37109,376
2678,Texas,Hopkins County,37084,444
2932,Virginia,Orange County,37051,467
20,Alabama,Covington County,37049,413
1951,North Carolina,Dare County,37009,332
3119,Wisconsin,Green County,36960,366
1427,Mississippi,Alcorn County,36953,411
1876,New York,Essex County,36885,308
2852,Vermont,Addison County,36777,299
2164,Ohio,Williams County,36692,408
2680,Texas,Howard County,36664,438
2675,Texas,Hill County,36649,404
1411,Minnesota,Steele County,36649,391
2727,Texas,Matagorda County,36643,520
27,Alabama,Escambia County,36633,420
2094,Ohio,Coshocton County,36600,460
753,Indiana,Knox County,36594,390
1708,Nebraska,Dodge County,36565,454
746,Indiana,Huntington County,36520,411
932,Kansas,Finney County,36467,613
1128,Kentucky,Whitley County,36264,528
1035,Kentucky,Clark County,36263,426
2312,Pennsylvania,Greene County,36233,361
2142,Ohio,Perry County,36134,420
2485,Tennessee,Cocke County,36004,361
898,Iowa,Webster County,35904,421
1380,Minnesota,McLeod County,35893,372
2805,Texas,Washington County,35882,364
1346,Minnesota,Carlton County,35871,368
1980,North Carolina,Macon County,35858,333
1208,Maine,Sagadahoc County,35856,313
1513,Missouri,Barry County,35789,410
1274,Michigan,Delta County,35784,342
712,Indiana,Adams County,35777,676
2845,Utah,Uintah County,35734,536
545,Georgia,Ware County,35734,476
1561,Missouri,Laclede County,35723,474
1284,Michigan,Houghton County,35684,358
1617,Missouri,Warren County,35649,416
661,Illinois,Livingston County,35648,422
1760,Nebraska,Scotts Bluff County,35618,454
3140,Wisconsin,Oneida County,35595,319
1046,Kentucky,Floyd County,35589,416
2687,Texas,Jasper County,35529,422
763,Indiana,Miami County,35516,382
2640,Texas,Fannin County,35514,321
2853,Vermont,Bennington County,35470,323
2137,Ohio,Morrow County,35328,381
1472,Mississippi,Marshall County,35294,393
1473,Mississippi,Monroe County,35252,387
469,Georgia,Harris County,35236,307
1741,Nebraska,Madison County,35099,497
1055,Kentucky,Greenup County,35098,352
2408,South Dakota,Brookings County,35077,443
894,Iowa,Wapello County,34969,436
1671,Montana,Silver Bow County,34915,364
1737,Nebraska,Lincoln County,34914,414
922,Kansas,Cowley County,34908,393
2208,Oklahoma,Lincoln County,34877,354
888,Iowa,Sioux County,34855,487
2006,North Carolina,Scotland County,34823,436
3106,Wisconsin,Clark County,34774,568
3053,West Virginia,Greenbrier County,34662,342
675,Illinois,Monroe County,34637,359
1204,Maine,Lincoln County,34634,307
787,Indiana,Steuben County,34594,336
944,Kansas,Harvey County,34429,372
1340,Minnesota,Becker County,34423,413
2011,North Carolina,Transylvania County,34385,261
2529,Tennessee,Marshall County,34375,411
2522,Tennessee,Lincoln County,34366,386
637,Illinois,Fulton County,34340,321
1389,Minnesota,Nicollet County,34274,353
965,Kansas,Miami County,34237,390
1479,Mississippi,Panola County,34192,487
1468,Mississippi,Lincoln County,34153,413
660,Illinois,Lee County,34096,338
2847,Utah,Wasatch County,34091,452
2940,Virginia,Pulaski County,34027,308
1910,New York,Seneca County,34016,318
633,Illinois,Effingham County,34008,469
803,Indiana,Whitley County,33964,409
2907,Virginia,Halifax County,33911,359
2147,Ohio,Putnam County,33861,428
144,Arkansas,Hot Spring County,33771,361
2370,South Carolina,Clarendon County,33745,302
394,Florida,Wakulla County,33739,329
737,Indiana,Gibson County,33659,384
677,Illinois,Morgan County,33658,355
860,Iowa,Lee County,33657,370
1336,Michigan,Wexford County,33631,362
933,Kansas,Ford County,33619,559
490,Georgia,Lumpkin County,33610,279
748,Indiana,Jasper County,33562,362
1752,Nebraska,Platte County,33470,461
3079,West Virginia,Preston County,33432,309
2878,Virginia,Botetourt County,33419,229
1277,Michigan,Emmet County,33415,288
2661,Texas,Hale County,33406,427
1218,Maryland,Caroline County,33406,397
1151,Louisiana,Evangeline Parish,33395,447
1386,Minnesota,Morrison County,33386,345
725,Indiana,Daviess County,33351,539
2562,Tennessee,Weakley County,33328,311
9,Alabama,Chambers County,33254,354
867,Iowa,Marion County,33253,340
960,Kansas,Lyon County,33195,389
2542,Tennessee,Rhea County,33167,388
55,Alabama,Pike County,33114,345
40,Alabama,Lawrence County,32924,349
2212,Oklahoma,McCurtain County,32832,444
2791,Texas,Titus County,32750,473
1856,New Mexico,Taos County,32723,271
1932,North Carolina,Bladen County,32722,337
1562,Missouri,Lafayette County,32708,356
614,Illinois,Bureau County,32628,314
509,Georgia,Pickens County,32591,297
2579,Texas,Bee County,32565,318
1155,Louisiana,Iberville Parish,32511,351
2118,Ohio,Jackson County,32413,408
723,Indiana,Clinton County,32399,422
2510,Tennessee,Henry County,32345,300
2867,Virginia,Accomack County,32316,384
750,Indiana,Jefferson County,32308,372
619,Illinois,Christian County,32304,324
2368,South Carolina,Chester County,32244,358
3016,Washington,Jefferson County,32221,181
1483,Mississippi,Pontotoc County,32174,434
1592,Missouri,Polk County,32149,399
3063,West Virginia,Logan County,32019,349
79,Alaska,Juneau City and Borough,31974,340
2483,Tennessee,Claiborne County,31959,333
1612,Missouri,Stone County,31952,253
1222,Maryland,Dorchester County,31929,340
739,Indiana,Greene County,31922,339
967,Kansas,Montgomery County,31829,322
687,Illinois,Randolph County,31782,320
935,Kansas,Geary County,31670,851
2871,Virginia,Amherst County,31605,306
1797,New Hampshire,Coos County,31563,225
2069,North Dakota,Stark County,31489,506
1211,Maine,Washington County,31379,259
458,Georgia,Gilmer County,31369,313
1158,Louisiana,Jefferson Davis Parish,31368,384
2111,Ohio,Hardin County,31365,374
2054,North Dakota,Morton County,31364,434
1397,Minnesota,Polk County,31364,421
1682,Nebraska,Adams County,31363,391
30,Alabama,Franklin County,31362,432
2987,Virginia,Petersburg city,31346,686
265,Colorado,Delta County,31162,283
1071,Kentucky,Knox County,31145,385
2225,Oklahoma,Ottawa County,31127,409
1089,Kentucky,Marshall County,31100,296
309,Colorado,Summit County,31011,266
1908,New York,Schoharie County,30999,237
796,Indiana,Wabash County,30996,306
1285,Michigan,Huron County,30981,310
1271,Michigan,Clare County,30950,324
2841,Utah,Sanpete County,30939,373
3159,Wisconsin,Vernon County,30822,412
551,Georgia,White County,30798,288
2883,Virginia,Caroline County,30725,343
1426,Mississippi,Adams County,30693,340
2703,Texas,Kleberg County,30680,402
2390,South Carolina,Marion County,30657,341
1431,Mississippi,Bolivar County,30628,405
1099,Kentucky,Muhlenberg County,30622,340
2924,Virginia,Mecklenburg County,30587,312
208,California,Lassen County,30573,281
