,STNAME,CTYNAME,POPESTIMATE2019,BIRTHS2019
1820,New Jersey,Passaic County,501826,6602
239,California,Sonoma County,494336,4509
1818,New Jersey,Morris County,491845,4568
881,Iowa,Polk County,490161,6750
3006,Washington,Clark County,488241,5574
756,Indiana,Lake County,485493,5438
564,Idaho,Ada County,481587,4980
1903,New York,Richmond County,476143,5322
388,Florida,Seminole County,471826,4714
1790,Nevada,Washoe County,471519,5259
2939,Virginia,Prince William County,470335,6503
2517,Tennessee,Knox County,470313,5154
1245,Massachusetts,Hampden County,466372,4972
244,California,Tulare County,466195,7032
110,Arizona,Pinal County,462789,4568
1894,New York,Onondaga County,460528,4952
2996,Virginia,Virginia Beach city,449974,5514
2349,Pennsylvania,York County,449058,4868
238,California,Solano County,447643,5088
232,California,Santa Barbara County,446499,5390
1807,New Jersey,Burlington County,445349,4333
1148,Louisiana,East Baton Rouge Parish,440059,5739
217,California,Monterey County,434061,5797
387,Florida,Sarasota County,433742,2835
1157,Louisiana,Jefferson Parish,432493,5577
1356,Minnesota,Dakota County,429021,5108
2126,Ohio,Lucas County,428348,5298
2597,Texas,Cameron County,423163,6202
2288,Pennsylvania,Berks County,421164,4708
2248,Oregon,Clackamas County,418187,3987
1799,New Hampshire,Hillsborough County,417025,4148
2396,South Carolina,Richland County,415759,4631
2919,Virginia,Loudoun County,413538,5016
49,Alabama,Mobile County,413210,5443
2366,South Carolina,Charleston County,411406,4763
1278,Michigan,Genesee County,405813,4600
3164,Wisconsin,Waukesha County,404198,3851
369,Florida,Manatee County,403253,3482
1600,Missouri,St. Charles County,402022,4289
221,California,Placer County,398329,3721
174,Arkansas,Pulaski County,391911,5067
1167,Louisiana,Orleans Parish,390144,4399
1896,New York,Orange County,384940,5043
340,Florida,Collier County,384902,3160
2087,Ohio,Butler County,383134,4455
1957,North Carolina,Forsyth County,382295,4356
2265,Oregon,Lane County,382067,3425
713,Indiana,Allen County,379299,5155
378,Florida,Osceola County,375751,4498
2586,Texas,Brazoria County,374264,4681
45,Alabama,Madison County,372909,4242
2154,Ohio,Stark County,370606,3985
