Date,Value,Anomaly
201412,37.08,5.79
201512,35.88,4.59
201612,39.39,8.1
201712,37.57,6.28
201812,39.74,8.45
201912,44.55,13.26
202012,34.19,2.9
202112,29.9,-1.39
202212,32.15,0.86
