Date,Value,Anomaly
201412,53.7,-0.4
201512,56.3,2.2
201612,57.2,3.1
201712,56.5,2.4
201812,54.6,0.5
201912,53.8,-0.3
202012,55.6,1.5
202112,56.1,2
202212,55.2,1.1
