Date,Value,Anomaly
201412,25.43,-1.63
201512,32.78,5.72
201612,30.68,3.62
201712,29.03,1.97
201812,31.85,4.79
201912,36.03,8.97
202012,25.85,-1.21
202112,27.25,0.19
202212,21.24,-5.82
