Date,Value,Anomaly
201412,38.56,0.27
201512,43.01,4.72
201612,37.39,-0.9
201712,45.51,7.22
201812,50.93,12.64
201912,46.87,8.58
202012,42.32,4.03
202112,41.68,3.39
202212,40.24,1.95
