Date,Value,Anomaly
201412,43.75,0.81
201512,49.76,6.82
201612,45.41,2.47
201712,41.56,-1.38
201812,63.53,20.59
201912,46,3.06
202012,61.4,18.46
202112,40.86,-2.08
202212,45.56,2.62
